date,price,volume
2023-06-23,1892.63,760352485.336681
2023-06-24,1874.96,427721477.76198
2023-06-25,1898.8,644415530.040616
2023-06-26,1858.97,859537162.355614
2023-06-27,1889.58,690855987.041332
2023-06-28,1828.02,626358502.58848
2023-06-29,1851.99,448678322.176822
2023-06-30,1933.79,1353630452.615445
2023-07-01,1924.5,343093755.612736
2023-07-02,1937.48,491981842.960139
2023-07-03,1955.54,631158998.811416
2023-07-04,1936.2,401186997.249838
2023-07-05,1910.36,512774138.218949
2023-07-06,1846.17,868009586.22327
2023-07-07,1870.91,432733381.054967
2023-07-08,1865.24,234001180.804625
2023-07-09,1862.8,252189550.05161
2023-07-10,1880.4,464186441.163382
2023-07-11,1878.3,333339876.932696
2023-07-12,1871.82,498567734.559133
2023-07-13,2004.49,1069502144.026194
2023-07-14,1937.83,982369872.0199
2023-07-15,1931.41,261553961.167515
2023-07-16,1922.11,286787440.456901
2023-07-17,1911.2,528662412.297658
2023-07-18,1897.21,409583830.876333
2023-07-19,1888.63,415268112.543401
2023-07-20,1891.59,556981450.455301
2023-07-21,1891.73,313414135.895111
2023-07-22,1866.52,247820592.768613
2023-07-23,1888.73,288736391.861338
2023-07-24,1850.0,512402907.457845
2023-07-25,1857.66,282696600.921257
2023-07-26,1872.0,507049348.717311
2023-07-27,1861.28,306463587.40202
2023-07-28,1874.19,259228467.502262
2023-07-29,1880.46,136676328.67955
2023-07-30,1861.79,296504225.221497
2023-07-31,1856.14,313517086.161755
2023-08-01,1873.47,659100582.108448
2023-08-02,1839.9,470466371.262786
2023-08-03,1835.81,315081750.38648
2023-08-04,1830.23,344687096.602038
2023-08-05,1836.48,171683574.022643
2023-08-06,1830.28,165701947.019345
2023-08-07,1829.1,409166592.891649
2023-08-08,1856.3,436891258.634858
2023-08-09,1855.35,356559464.883318
2023-08-10,1852.47,236043286.656351
2023-08-11,1848.84,209237745.63836
2023-08-12,1849.93,117106742.569844
2023-08-13,1840.73,222956657.347428
2023-08-14,1845.5,277387603.677403
2023-08-15,1828.98,341622741.956271
2023-08-16,1807.81,373631455.899558
2023-08-17,1681.49,1390504308.003381
2023-08-18,1661.59,901117750.717323
2023-08-19,1669.67,387407573.3804
2023-08-20,1685.24,327342264.94863
2023-08-21,1667.55,418860905.067397
2023-08-22,1634.99,657589420.923018
2023-08-23,1679.61,622717740.76397
2023-08-24,1661.16,383948287.500426
2023-08-25,1653.8,390502520.582296
2023-08-26,1647.04,130634757.648333
2023-08-27,1658.33,145109143.683836
